#Thorlabs FTS
[SpectrumHeader]
"#Date	20240416"
"#Time	12150949"
"#GMTTime	10150949"
"#XAxisUnit	nm_air"
"#YAxisUnit	intensity"
"#Average	1"
"#RollingAverage	0"
"#SpectrumSmooth	0"
"#SSmoothParam1	0"
"#SSmoothParam2	0"
"#SSmoothParam3	0"
"#SSmoothParam4	0"
"#IntegrationTime	0.001500"
"#TriggerMode	0"
"#InterferometerSerial	M00311842"
"#Source	"
"#AirMeasureOpt	0"
"#WnrMin	0.000000"
"#WnrMax	0.000000"
"#Length	3648"
"#Resolution	0.0000000000e+000"
"#ADC	0"
"#Instrument	0"
"#InstrModel	CCS175"
"#Type	emission"
"#AirTemp	0.00"
"#AirPressure	0.00"
"#AirRelHum	0.00"
"#Name	"
"#Comment	"""""
[Data]
"4.991233215e+002	7.393715205e-004"
"4.992806702e+002	-2.372610179e-004"
"4.994380493e+002	2.013959689e-003"
"4.995954285e+002	8.221369935e-004"
"4.997528076e+002	1.451154589e-003"
"4.999101868e+002	-5.021105171e-004"
"5.000675659e+002	9.711148450e-004"
"5.002249756e+002	-1.031809486e-003"
"5.003823853e+002	-2.207079160e-005"
"5.005398254e+002	-1.346318284e-003"
"5.006972351e+002	9.049024666e-004"
"5.008546753e+002	-1.263552811e-003"
"5.010121155e+002	2.262256166e-004"
"5.011695862e+002	-2.703671926e-004"
"5.013270264e+002	8.717962774e-004"
"5.014844971e+002	-4.855574225e-004"
"5.016419678e+002	1.004221034e-003"
"5.017994690e+002	-5.186636117e-004"
"5.019569397e+002	8.883493720e-004"
"5.021144409e+002	9.380086703e-005"
"5.022719727e+002	1.732557197e-003"
"5.024294739e+002	1.931194274e-004"
"5.025870056e+002	8.386900881e-004"
"5.027445374e+002	1.550473156e-003"
"5.029020691e+002	2.179490635e-003"
"5.030596313e+002	7.393715205e-004"
"5.032171631e+002	1.666344819e-003"
"5.033747253e+002	-8.828316641e-005"
"5.035323181e+002	1.269070548e-003"
"5.036898804e+002	-2.372610179e-004"
"5.038474731e+002	8.552431827e-004"
"5.040050659e+002	-1.280105906e-003"
"5.041626892e+002	8.055838989e-004"
"5.043202820e+002	-2.703671926e-004"
"5.044779053e+002	1.070433413e-003"
"5.046355286e+002	1.103539580e-005"
"5.047931824e+002	1.235964359e-003"
"5.049508057e+002	3.752034681e-004"
"5.051084595e+002	8.717962774e-004"
"5.052661438e+002	-1.544955448e-004"
"5.054237976e+002	8.883493720e-004"
"5.055814819e+002	-2.538140980e-004"
"5.057391663e+002	1.451154589e-003"
"5.058968506e+002	-5.517697900e-006"
"5.060545654e+002	2.162937541e-003"
"5.062122498e+002	-3.365795710e-004"
"5.063699646e+002	1.434601494e-003"
"5.065277100e+002	-3.365795710e-004"
"5.066854248e+002	4.745220358e-004"
